ten_case,hang,thong_so,gia_vnd,link_hinh_anh,category
Thùng máy Deepcool CH360 Digital WH - Trắng | Kèm sẵn 3 fan ARGB,Deepcool,Thùng máy Deepcool CH360 Digital WH - Trắng | Kèm sẵn 3 fan ARGB,1790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Deepcool CH560 Digital | Kèm sẵn 4 Fan ARGB, Black / White",Deepcool,"Thùng máy Deepcool CH560 Digital | Kèm sẵn 4 Fan ARGB, Black / White",23700002399000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Deepcool CH780 WH - Trắng | E-ATX, sẵn 3 fan ARGB 140",Deepcool,"Thùng máy Deepcool CH780 WH - Trắng | E-ATX, sẵn 3 fan ARGB 140",3799000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy E-Dra ECS 1503 - Black,Unknown,Thùng máy E-Dra ECS 1503 - Black,479000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy E-Dra ECS 1503 - White,Unknown,Thùng máy E-Dra ECS 1503 - White,489000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy E-Dra ECS1105 Micro-ATX,Unknown,Thùng máy E-Dra ECS1105 Micro-ATX,219000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Edra ECS 1303 - White,Unknown,Thùng máy Edra ECS 1303 - White,429000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Gamdias Aura GC2 Elite ARGB F-ATX (Kèm Sẵn 4F ARGB) - Đen,Unknown,Thùng máy Gamdias Aura GC2 Elite ARGB F-ATX (Kèm Sẵn 4F ARGB) - Đen,699000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Gamdias Aura GC2 Elite ARGB F-ATX (Kèm Sẵn 4F ARGB) - Trắng,Unknown,Thùng máy Gamdias Aura GC2 Elite ARGB F-ATX (Kèm Sẵn 4F ARGB) - Trắng,769000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Gamdias Aura GC9M Elite ARGB M-ATX (Kèm Sẵn 3F ARGB) - Đen,Unknown,Thùng máy Gamdias Aura GC9M Elite ARGB M-ATX (Kèm Sẵn 3F ARGB) - Đen,689000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Gamdias Aura GC9M Elite ARGB M-ATX (Kèm Sẵn 3F ARGB) - Trắng,Unknown,Thùng máy Gamdias Aura GC9M Elite ARGB M-ATX (Kèm Sẵn 3F ARGB) - Trắng,719000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Gamdias GC10M V2 ARGB M-ATX (Kèm Sẵn 3F ARGB) - Đen,Unknown,Thùng máy Gamdias GC10M V2 ARGB M-ATX (Kèm Sẵn 3F ARGB) - Đen,1099000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Gamdias GC10M V2 ARGB M-ATX (Kèm Sẵn 3F ARGB) - Trắng,Unknown,Thùng máy Gamdias GC10M V2 ARGB M-ATX (Kèm Sẵn 3F ARGB) - Trắng,1169000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Gaming LinkTech Bahamut 4FA Full Atx (Kèm Sẵn 4F ARGB) (Hồ Cá),Unknown,Thùng máy Gaming LinkTech Bahamut 4FA Full Atx (Kèm Sẵn 4F ARGB) (Hồ Cá),1099000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Gaming LinkTech Bahamut M 4F M-ATX (Kèm Sẵn 4 Fan Fixed RGB) - Đen,Unknown,Thùng máy Gaming LinkTech Bahamut M 4F M-ATX (Kèm Sẵn 4 Fan Fixed RGB) - Đen,559000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Gigabyte AC300G (GB-AC300G) - Đen,Gigabyte,Thùng máy Gigabyte AC300G (GB-AC300G) - Đen,990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Gigabyte C400 Glass - Black (GB-AC400G),Gigabyte,Thùng máy Gigabyte C400 Glass - Black (GB-AC400G),3399000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
